station_id,latitude,longitude,geohash,city,price,availability,demand,connector_type,power_rating_kW,time_of_day,wait_time,num_charging_points,charger_downtime_%,nearby_facilities,renewable_energy_%,ev_type_preference,weather_condition,traffic_congestion,station_type,maintenance_status,user_rating,num_reviews,charging_time_est_min,payment_methods
EVS1,23.013796530323066,72.59792034758856,ts5duj,Ahmedabad,7.1,14,24.6,GB/T,250,16,9.1,2,5.8,Hotel,24.5,Tesla,Clear,Medium,Public Slow,Faulty,3.3,49,7.2,"Card, RFID"
EVS2,17.37063015854961,78.51041256198516,tepffd,Hyderabad,18.11,11,42.6,Type 2 AC,50,15,4.0,6,17.8,Rest Area,35.4,All,Rain,High,Public Fast,Faulty,3.2,343,36.0,"RFID, UPI"
EVS3,19.081686211188646,72.8672684770677,te7ud1,Mumbai,13.3,14,70.0,CCS2,150,13,4.9,11,5.67,Shopping Mall,33.8,All,Rain,High,Public Slow,Operational,4.5,418,30.0,"RFID, UPI"
EVS4,18.49511244385926,73.87821994676108,tek91n,Pune,16.44,1,53.7,Tesla,22,16,8.0,2,1.55,Gas Station,21.5,Generic,Clear,Medium,Public Fast,Faulty,3.0,65,204.5,UPI
EVS5,12.835917297188505,80.30172304220888,tf3152,Chennai,9.61,4,13.8,Tesla,50,18,1.0,8,14.04,Rest Area,93.2,All,Clear,High,Highway Hub,Faulty,4.9,239,90.0,Card
EVS6,12.945658830808748,77.58331515655031,tdr1tk,Bangalore,8.93,15,51.6,GB/T,100,3,6.2,10,12.65,Rest Area,98.6,All,Rain,Medium,Public Slow,Under Maintenance,3.6,100,18.0,"RFID, UPI, App Wallet"
EVS7,18.558937506497546,73.90400431151788,tek99d,Pune,6.01,14,37.3,GB/T,250,16,1.4,2,13.75,Rest Area,59.6,Two-Wheelers,Storm,High,Public Slow,Under Maintenance,4.5,432,18.0,"RFID, App Wallet"
EVS8,17.416518712762535,78.4779809974238,tepg1f,Hyderabad,20.56,13,33.9,CHAdeMO,250,14,4.9,19,8.67,Rest Area,84.2,Tesla,Clear,High,Highway Hub,Under Maintenance,3.9,409,7.2,"UPI, Card, App Wallet"
EVS9,12.92609891787037,77.6311696945893,tdr1w9,Bangalore,16.06,10,52.9,Type 2 AC,250,18,3.3,13,11.41,Gas Station,57.5,Tesla,Rain,Medium,Public Slow,Faulty,4.4,455,7.2,"App Wallet, Card, RFID"
EVS10,28.600356639961753,77.19725882070708,ttnfsw,Delhi,9.68,6,77.9,CCS2,150,7,4.3,3,9.14,Gas Station,54.2,Generic,Rain,High,Public Fast,Under Maintenance,4.2,199,20.0,"RFID, UPI"
